"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant country of citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITC2","Valle d'Aosta / Vallée d'Aoste","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",477,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",454,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",463,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",1639,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",2080,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",3260,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",6014,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",5540,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",3944,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",3371,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",4746,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",3740,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",5123,,
"ITC3","Liguria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",8134,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",14386,,
"ITC4","Lombardia","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",26039,,
