"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","STD","study","2020","2020",1,,
"ITC1","Piemonte","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","STD","study","2021","2021",2,,
"ITC1","Piemonte","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","STD","study","2022","2022",5,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2007","2007",171,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2008","2008",159,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2009","2009",169,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2010","2010",242,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2011","2011",223,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2012","2012",156,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2013","2013",125,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2014","2014",137,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2015","2015",112,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2016","2016",121,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2017","2017",122,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2018","2018",150,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2019","2019",158,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2020","2020",107,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2021","2021",135,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2022","2022",290,,
"ITD32","Vicenza","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","WK","work","2007","2007",3,,
"ITD32","Vicenza","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","WK","work","2009","2009",1,,
"ITD32","Vicenza","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","WK","work","2010","2010",1,,
"ITD32","Vicenza","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","WK","work","2011","2011",2,,
"ITD32","Vicenza","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","WK","work","2014","2014",1,,
"ITD32","Vicenza","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","WK","work","2017","2017",1,,
"ITD32","Vicenza","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","WK","work","2018","2018",1,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2007","2007",1,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2009","2009",2,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2010","2010",3,,
"ITC12","Vercelli","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2012","2012",3,,
